0,multiplicand,multiplier,accurate result,approximate result,accuracy
1,2363336,6523406,15417000242416,15408068854968,0.9994203434880731
2,2575071,3051325,7857378519075,7856836913187,0.9999310656573397
3,2256267,5248860,11842829605620,11842555057732,0.9999768168366825
4,5328756,7120853,37945288148868,37790127830916,0.9958941573670713
5,6111590,5562554,33996049400860,33652325377410,0.9897860246031992
6,5404446,3183628,17205745610088,17136888212840,0.9959819194481057
7,7412713,6005475,44516862603675,44493168934955,0.999467476260128
8,1730983,4160153,7201154120399,7201152790715,0.9999998153512307
9,2738568,8273754,22658237944272,22658238284504,0.9999999849841812
10,7478666,1613395,12066042331070,12047640832446,0.9984726056428872
11,6421089,7885878,50635924481142,50635859342675,0.9999987135901741
12,7333089,6400304,46933998859056,46925230831408,0.999813148971403
13,929594,8041326,7475168401644,7466024614310,0.9987752803122998
14,4009519,5533465,22186533053335,21087031196003,0.9478588594519456
15,4299810,3409820,14661578134200,14661034758424,0.9999629374198374
16,4304038,6495980,27958944767240,27683330080008,0.9900440197607931
17,8084740,1412526,11419905453240,11411053052348,0.9992242257702781
18,7521713,1244606,9361569130078,9361026816783,0.9999420669008203
19,2898128,6481185,18783303721680,18777787195344,0.9997062206383206
20,1853801,235175,435967650175,434806281835,0.9973289982492923
21,7504673,7373294,55334160402862,55059290336207,0.9950077441068244
22,6855468,1543943,10584451830324,10584325498244,0.9999880642295041
23,1968996,1962455,3864066045180,3862966379372,0.9997153312506492
24,1537465,1778875,2734958051875,2734648160803,0.9998866797285143
25,210371,6929717,1457811495007,1423443941471,0.9758560540849369
26,8156226,6856465,55922878101090,55746780534370,0.996841116831645
27,6553371,4180361,27395456546931,27377193307039,0.9993329031326486
28,6257602,406422,2543227120044,2534592718566,0.9965933771470451
29,2636121,4003332,10553267555172,10553256280164,0.9999989316086239
30,3522184,6665090,23475673356560,23470717614488,0.9997888542585958
31,1076038,6427807,6916564588666,6770537410970,0.978431966499528
32,4168536,3935622,16405781989392,16405789109256,0.9999995660151455
33,7817134,7496093,58597963457462,58527963809366,0.9988039965250799
34,744199,6809616,5067709417584,4517970388080,0.8783216837909329
35,6237944,6954026,43378824762544,41149708927912,0.945829122666771
36,5155677,3222302,16613148308454,16608821881203,0.999739510286645
37,1946333,5941962,11565036725346,8125500725055,0.5766985793644467
38,1652188,752504,1243278078752,1238673806224,0.9962829015154233
39,5936740,2076879,12329890634460,12329819331292,0.9999942170143711
40,2604752,2214826,5769072453152,5758911210736,0.9982355618893626
41,8159289,7962809,64970859882801,64902130657813,0.9989410328398868
42,5562628,2825117,15715074927476,15577633217588,0.9911769838223677
43,178473,2795722,498960892506,281192043077507,0.001774448832353559
44,118356,1253787,148393214172,148299209884,0.9993661174049846
45,8061430,6815400,54941870022000,54941881820488,0.9999997852551167
46,530428,4206802,2231405571256,2230867133620,0.9997586419971474
47,6126038,4283563,26241269713394,26232550975986,0.9996676366924444
48,1926413,5921304,11406877002552,8093308685212,0.5905792740372657
49,2966012,4437060,13160373204720,13160104769264,0.9999796023313867
50,2175029,2113146,4596153831234,4596159424311,0.9999987830976945
51,8026829,3900253,31306663887737,31306664240809,0.9999999887221457
52,8084965,23874,193020454410,167227364335,0.8457603504212999
53,2054810,4622010,9497352368100,9495724147326,0.9998285311632121
54,2127057,407047,865812170679,827168784755,0.9532823449866452
55,157142,8283375,1301666114250,1301533854410,0.9998983815599173
56,6567350,8123688,53351102386800,53351099296072,0.9999999420681478
57,1219777,837502,1021565677054,1012702484095,0.9912479794429253
58,5179736,329769,1708116360984,1673762849912,0.9794752816542641
59,3629056,7222204,26209782759424,26209782759424,1.0
60,529087,2379526,1258976272762,1241793636669,0.9861630502962707
61,2225472,2070378,4607568268416,4607094288832,0.9998971196258889
62,6733126,6918940,46586094806440,45486586827080,0.9758278636394538
63,3439338,3702966,12735751676508,12701102862494,0.9972719838277732
64,574569,5464058,3139478341002,3122294422003,0.9944963809697434
65,6631730,6114994,40552989159620,40389504934326,0.9959523092555893
66,5203506,5333350,27752118725100,27201071410678,0.9797417055342282
67,5501189,1739087,9567046274443,9412412596619,0.9835713026562876
68,7381550,725571,5355838615050,5342679092234,0.9975369056256573
69,189305,5740004,1086611457220,914783732564,0.8121657408856704
70,3376536,860141,2904297051576,2904291186104,0.9999979804118719
71,422461,8036968,3395305538248,3222931392892,0.9465163466600122
72,6302435,5600117,35294373384895,35278589991423,0.9995526070209768
73,987885,79350,78388674750,69727427319,0.8757842105463728
74,4035480,4533115,18293294920200,18275747580936,0.9990398565538132
75,2619675,6346129,16624795488075,16624097999627,0.9999580435312632
76,1541736,6817241,10510385870376,9960612168008,0.9448052295285835
77,2118039,2504212,5304018680268,5260997063884,0.9918225355647246
78,5587809,2100190,11735460583710,11734220187247,0.9998942923821774
79,2729831,4302645,11745493702995,11736237780307,0.9992113381765722
80,381781,7563224,2887495221944,2887335630524,0.9999447270977738
81,2178489,91844,200081143716,195508724644,0.976612710863283
82,1585367,3722761,5901942438287,5901790237675,0.9999742111112272
83,7137966,2887985,20614338738510,20545480849742,0.9966485141296235
84,6494704,8029107,52146673349328,52077911143120,0.9986796281821091
85,7580790,7215631,54700183328490,54699123944682,0.9999806325269657
86,4549656,3152953,14344851534168,14344857051576,0.99999961537379
87,3966427,5425682,21520571578214,21515601483841,0.9997690004447827
88,3174006,3246231,10303556671386,10259356234562,0.9956916948964988
89,3593276,4150547,14914060921972,14913926704244,0.9999910005104181
90,2079670,346536,720680523120,685224896072,0.948256948556238
91,3906974,5038562,19685530731388,19680953285882,0.999767417490428
92,5744189,7093725,40747697114025,40742506482393,0.9998725991088878
93,172468,7759261,1338224226148,1269486742820,0.9458541148879518
94,7793354,8379561,65304885237594,65296172507714,0.9998665659939108
95,7076352,1137374,8048458779648,8048207930880,0.9999688317237633
96,5802130,2652839,15392116747070,13046917902806,0.8202488233822933
97,164121,7615482,1249860521322,1249319620227,0.9995670434641043
98,6964082,7330485,51050098639770,51032379532122,0.9996527869597606
99,428802,460871,197622406542,197623052678,0.9999967304624069
100,7501764,3820963,28663962678732,28629497276940,0.9987961576321579
101,1370565,3349167,4590251069355,4590089830315,0.999964872356324
102,7961974,7689768,61225732882032,60943970652744,0.995376700496043
103,3212149,5300496,17025982925904,17025986550864,0.9999997870925136
104,3448802,7298709,25171802196618,25146009444106,0.9989742804889448
105,3571839,2102047,7508173454433,7507075069041,0.9998536866380183
106,7069117,2406790,17013880104430,14796919714551,0.8501741962079523
107,1143022,6571067,7510874144474,6889987129050,0.9098856059097444
108,1015350,1156258,1174006560300,1139634542530,0.9698394384451582
109,4931474,1920837,9472557723738,9471347667034,0.9998722402823189
110,2787816,4412017,12299891584872,12296265669992,0.9997051206457869
111,1149380,6857336,7881684851680,7522829882864,0.9522978753469591
112,5834693,7393333,43137828301769,43129196161737,0.9997998539087158
113,3327163,6146924,20451818096612,20378009082148,0.9963780065968927
114,6941,8134530,56461772730,56463153687,0.9999755423331885
115,5148765,7041380,36254410895700,34055218667492,0.9354227541546436
116,3568012,7913031,28233789564372,28233752062884,0.9999986717497583
117,6558586,4502995,29533279965070,29530515682702,0.99990639234351
118,1976429,125655,248348185995,248324617175,0.9999050886687428
119,2885292,5496705,15859598962860,15859592076204,0.999999565773447
120,6682287,7281662,48658155320994,48520720235857,0.9971674970101653
121,3367529,3696174,12446973134046,12435693300807,0.9990929469739923
122,879591,6950103,6113248047873,3914215424869,0.4381932560399133
123,1398604,1824649,2551961389996,2551966501852,0.9999979968953369
124,2810593,5896174,16571745371182,16571211801359,0.9999678013998375
125,613184,5192420,3183908865280,3181754415360,0.9993228735977864
126,5747621,980194,5633783618474,5633726138783,0.9999897972159839
127,187274,90808,17005977392,16995593560,0.999389027987558
128,4967304,5561164,27623992181856,26932506035296,0.974325220770255
129,324695,1538372,499501696540,498417443356,0.997824608270731
130,2396716,2425632,5813551024512,4713771560000,0.7666880012081027
131,6269378,3033411,19017600188358,18996030523334,0.9988645172475636
132,2816976,2738440,7714119757440,7642649550272,0.9906485039386038
133,7506624,6404919,48079318683456,46979663774784,0.9765929591590174
134,2816306,6451348,18168970080488,18031267134824,0.9923631021250829
135,233560,6051626,1413417768560,1412721059528,0.9995068318495707
136,4394208,6549853,28781416451424,28781413252960,0.9999998888705022
137,2883613,7401546,21343194265698,21342622529407,0.9999732115258932
138,410561,2863494,1175638960134,1173470006275,0.9981516750769923
139,2735326,830574,2271890657124,2253548082370,0.9918605798130078
140,3464318,272917,945471275606,919682236502,0.9719587504461451
141,5213771,5004204,26090773693284,26090507015012,0.9999897787240453
142,1608297,3935210,6328986437370,6328920936803,0.9999896505948401
143,4773859,5400276,25780156185084,25623122025980,0.9938713885472357
144,3135151,2054654,6441650542754,6441656372305,0.9999990950229781
145,4134423,3393052,14028312228996,14028308844052,0.9999997587061963
146,908265,8166585,7417423325025,7416814307077,0.9999178868550856
147,3921073,2813704,11032738784392,11032737691468,0.9999999009380962
148,3093555,534400,1653195792000,1653196541760,0.9999995464786061
149,6313663,6596406,41647484495178,41641510753549,0.9998565435902564
150,424585,7535654,3199525653590,3130805929291,0.9780504682017891
151,951205,2925314,2782573303370,2746020522479,0.9866888172933239
152,2117686,2170749,4596964766814,4528250046174,0.9848253254702535
153,1923657,1352835,2602390517595,2499222837659,0.9587200955507288
154,3646618,2325074,8478656699732,8474299455470,0.9994858283820514
155,4618968,3107356,14352777928608,14351710292512,0.9999256091382671
156,6408676,4638653,29727624153428,29727226247508,0.9999866147646375
157,111520,7990094,891055282880,883251351136,0.9911645402704871
158,1554138,6995113,10871370927594,8121527216466,0.6614129783924351
159,7396817,6802895,50319769385215,50290630322175,0.9994205866410238
160,1807344,1348103,2436485868432,2436193946576,0.999880172981954
161,431932,167634,72406488888,72126361204,0.9961161539370094
162,3038803,1100223,3343360953069,3343228503021,0.9999603825918928
163,2188729,1094815,2396253340135,2396224177303,0.9999878296729178
164,5504519,3777967,20795891132873,20656269529801,0.9932407154704015
165,5890041,667309,3930477369669,3930200086853,0.9999294481680646
166,5253713,4832316,25387601389308,25380956759804,0.9997382041360031
167,7305363,8255499,60309416941137,60309426332241,0.9999998442846405
168,2037600,5493699,11193961082400,10641504136736,0.9480846938021816
169,121041,5399435,653553011835,635091259579,0.9709305521410604
170,968061,6636214,6424259961054,6422772535399,0.999768413773522
171,5697642,2031863,11576827967046,11576828245150,0.9999999759775308
172,3603632,7205714,25966741553248,25893995265296,0.9971906116763103
173,5879963,970850,5708562078550,5708518241505,0.9999923207664151
174,225618,7573287,1708669866366,1708685975894,0.9999905719785688
175,4804765,2649389,12729691538585,10255455659161,0.7587395468660807
176,1075307,6188151,6654162087357,6653763907921,0.9999401572641425
177,8149347,6804251,55450202474097,55443728461889,0.999883232740878
178,5709827,6300697,35975889849419,35907109207079,0.9980844839960985
179,4994367,6468388,32305503570396,32087054998988,0.993192003086139
180,3253864,2394156,7790258018784,7733856401888,0.9927071807433312
181,5606376,3742929,20984267315304,20984265316456,0.9999999047453905
182,500880,8180378,4097387732640,4088653504048,0.9978637885104833
183,1935172,5579510,10797311525720,10786169068940,0.9989669680950871
184,5936632,2856179,16956083649128,16951460772456,0.999727287415872
185,7420039,2709298,20103096822622,19633572218853,0.9760856252476489
186,5199910,8080747,42019157132770,42013899684706,0.9998748640782347
187,3354670,6380115,21403180387050,21381711468778,0.9989959214301741
188,1234601,4097601,5058902292201,5058348792809,0.9998905770608807
189,6140332,2372063,14565254344916,14528716859924,0.9974851540336102
190,2157717,7044016,15198993071472,14751873629552,0.9696906675620988
191,2605549,6187329,16121388888621,15846496921133,0.9826528242263183
192,4131504,7502437,30996348475248,30979021063792,0.9994406727242827
193,7845261,5382747,42229055111967,40909207258959,0.9677371442410692
194,6802643,4684018,31863702259574,31863435550793,0.9999916296288711
195,7418776,3748112,27806403350912,27737153294720,0.9975033466680525
196,3289111,6641914,21845992398454,20694951459469,0.9443805924725501
197,6120297,7709015,47181461377455,44700922205195,0.9445080984935089
198,2031465,3513327,7137200834055,7128333727239,0.9987560758018221
199,715538,2145347,1535077301686,1535079398838,0.9999986338478638
200,4243051,3478908,14761184068308,14760899930132,0.999980750619722
201,4288016,4534,19441864544,19405006064,0.9981005684884386
202,667677,2855208,1906356711816,1901964226044,0.9976905528969195
203,7044779,2460719,17335221536101,15088747054437,0.8511159028937793
204,2433360,7102697,17283418771920,16733651785488,0.9671460244613924
205,5148106,8340306,42936779360436,42935714948734,0.9999752091771787
206,6518281,4488711,29258679625791,29258703083803,0.999999198255236
207,3106716,6201851,19267389731316,18992517207540,0.9855273252738255
208,6630074,853382,5657985810268,5648874754990,0.9983871026225264
209,1405455,3891200,5468906496000,5434557059072,0.9936794412949147
210,6000656,1583500,9502038776000,9502051634368,0.9999986467798224
211,6401265,324123,2074797215595,2066065863003,0.9957739234027568
212,4259652,6874921,29284770987492,28940871293428,0.9881171616922918
213,4821852,6982624,33669179499648,33393218427456,0.9917360145206877
214,5829795,4915230,28654783277850,28636945536397,0.9993771074002872
215,5310951,7819532,41529151294932,41527012462036,0.9999484953824224
216,5953232,6757619,40229673674608,40229385512816,0.9999928370322259
217,1286405,2725578,3506197167090,2951689185527,0.8121387630235881
218,2752501,3034543,8352582642043,8065876079739,0.9644543804703137
219,4925150,3901949,19217684117350,19215522713958,0.999887517845641
220,4101503,7734298,31722246449894,31720117332085,0.9999328779970543
221,8267702,5323212,44010730498824,43458658848008,0.9872966247590196
222,4307620,7825360,33708677243200,33413004415296,0.9911509655274027
223,8167634,3936636,32153002039224,32152462533432,0.9999832203896843
224,5368245,3041192,16325863748040,16325838836892,0.9999984741275318
225,6769503,1437091,9728391835773,9727010883437,0.9998580291157737
226,1127912,579364,653471607968,643226741536,0.9840726982097546
227,4357373,8203742,35746763889766,35745809534099,0.9999733016071132
228,4267118,2085710,8899970683780,8895677886450,0.9995174288699753
229,1143733,2395929,2740303062957,2666553293617,0.9723426606486595
230,1698873,57258,97274070234,97279729939,0.9999418203051802
231,7185188,6000698,43116143261224,42978431064396,0.9967957835263539
232,3943911,1535102,6054305663922,6028268142553,0.9956807625750415
233,2994176,1688575,5055890739200,5055890739200,1.0
234,425806,3799082,1617671910092,1583151327770,0.9781950204528931
235,4472064,2662763,11908046552832,11873378057984,0.997080148995619
236,1382220,2264555,3130113212100,2833638503108,0.8953731364580133
237,5716487,4016084,22957891976908,22957893542604,0.9999999318014087
238,3891012,6346845,24695650057140,24686741542772,0.9996391376985673
239,7107263,6729034,47825014373942,45549446148085,0.9500418025181043
240,2969508,8347268,24787279104144,24784063754640,0.9998702654441244
241,1775891,5631939,10001709782649,9451952723577,0.9418366685541408
242,1703968,3730576,6356782125568,6339314948608,0.9972446270454136
243,2230801,3309352,7382505750952,7382356126188,0.9999797321124255
244,4635634,3684591,17080415315694,17078263099118,0.9998739791884275
245,1385689,6244169,8652476297441,8652426829893,0.9999942828123285
246,5412059,2543263,13764289408517,13622534510357,0.9895940877923836
247,4143806,5670474,23497344184044,21832923148202,0.9237655432328552
248,1206550,5260825,6347448403750,6338873661470,0.9986472766712294
249,2707255,8081840,21879601749200,21793432970704,0.9960461126701868
250,7975589,5211193,41562333567677,41527966491985,0.9991724353828249
251,5271210,1551642,8179030826820,8170417857358,0.9989458348872275
252,4584440,4333002,19864387688880,19864119940520,0.9999865210056724
253,7679746,6724381,51641538087226,51624090596634,0.999662028126978
254,162805,69435,11304365175,11304103031,0.9999768098362797
255,2543182,3625838,9221165936516,8039112116562,0.8529621427323101
256,8091656,8200980,66359509022880,66288096180384,0.9989226897948363
257,4480096,332908,1491459799168,1491449897088,0.9999933607692626
258,5860094,760031,4453853102914,4453721303906,0.9999704069924886
259,842152,8322638,7008926236976,7008924566232,0.9999997616261975
260,2485840,630494,1567307204960,1567297049008,0.9999935200847814
261,897395,2238886,2009165101970,1962833074025,0.9763953295070623
262,3056669,5506776,16832391489144,16830986371356,0.9999165160165306
263,1871500,5268326,9859672109000,9859492890852,0.9999818227823698
264,5187848,2690814,13959534028272,11760249622264,0.8129899894433865
265,8362716,6906139,57754079113524,57753310053236,0.9999866837019854
266,2740008,571184,1565048729472,1416191004544,0.894888666535535
267,3155634,3426724,10813486763016,10812124564776,0.9998740119731475
268,6452734,1460455,9423927633970,9423763564570,0.9999825898221155
269,7380653,2601549,19201130431497,19196495376649,0.999758546820289
270,3122206,4809504,15016262245824,14741261172640,0.9813448069358945
271,7567417,6676804,50526160095268,49976380856356,0.9889992186410578
272,2113273,232230,490765388790,486191333019,0.9905920664142706
273,2564814,8332658,21371717895612,21337232376842,0.9983837866991865
274,4108315,3561445,14631537915175,14619724237527,0.9991919356715583
275,1370377,8163427,11186972601979,11152612244683,0.9969190754110203
276,919573,3443514,3166562499522,3155528541143,0.9965032931139316
277,3729814,1902810,7097127377340,7095985254898,0.9998390466720303
278,4255063,7142032,30389796108016,30114523630768,0.9908591455530529
279,7220309,4400626,31773879513434,31704486271151,0.9978112484873743
280,3241924,260513,844563347012,843476941444,0.9987119913839729
281,7952653,4705607,37422059625371,37420949583719,0.9999703363579934
282,2520613,4331266,10917445386058,10908846199151,0.999211723517775
283,2365670,2978044,7045069349480,7027818537576,0.9975453532541052
284,3635426,7008524,25478970371224,25478978759832,0.9999996707635703
285,3712333,3564224,13231586374592,13053850289088,0.9863843937560266
286,3708588,6276200,23275840005600,23271544821136,0.999815431914941
287,7478764,441505,3301911699820,3301901335596,0.9999968611345565
288,6120770,7646041,46799658371570,44459959143130,0.9473751376849492
289,5452630,1687503,9201329482890,9201319128202,0.9999988746517912
290,4207524,950149,3997774721076,3997766850868,0.9999980313489272
291,5063868,4713771,23869914126228,23869713848212,0.9999916095342712
292,5610597,7223091,40525852695327,39964212934431,0.9859464325791307
293,6688099,6648260,44464221057740,42247196495820,0.9475225637246875
294,7573955,1531523,11599686283465,11530693929353,0.9940166346852404
295,7427102,8314186,61750307468972,61741594797514,0.9998588848978298
296,7954695,2858137,22735608103215,22692269999771,0.9980901820997001
297,7465544,7454142,55649225083248,55648692382648,0.9999904274372462
298,1377135,5024407,6919286733945,6908401256061,0.9984243130240228
299,214897,726218,156062069546,87204387483,0.21038741225694157
300,4985156,2498225,12454041348100,10250594658308,0.785042062120159
301,4435567,735147,3260793773349,3190396985637,0.9779347874170761
302,2264068,1487736,3368335470048,3295310355696,0.9778396853498867
303,7107087,255688,1817196860856,1817197539828,0.9999996263631306
304,4217527,2825918,11918385464786,11771762356361,0.9875445065924415
305,1999822,2644189,5287907334358,5266367590390,0.9959099429353725
306,1597845,1634203,2611203092535,2611153828903,0.9999811333857643
307,6260922,7350020,46017901918440,46017898295528,0.9999999212716761
308,5733843,1129337,6475441052091,6466054102087,0.9985482722761366
309,56066,5313118,297885273788,297609378718,0.9990729624476605
310,630027,3015806,1900039206762,1900033790389,0.9999971493280659
311,2899542,2743516,7954939869672,6783860077704,0.8273726494128469
312,1989077,5603476,11145745231652,10595816842340,0.9480994813807528
313,909572,2231716,2029906385552,2029155657424,0.9996300293054141
314,2651303,5125559,13589409953377,13550187969733,0.9971054288153338
315,4236669,919231,3894477481539,3894190633539,0.9999263395074885
316,2143869,4279878,9175497767982,9175503197623,0.9999994082459694
317,2965970,6982652,20710336352440,20707936456888,0.9998841074504455
318,1625464,3388858,5508466680112,5366180886184,0.973484719030934
319,4557012,1217454,5547952487448,5547692082412,0.9999530606543889
320,1843093,3353470,6180757082710,6143940807851,0.9940077100332811
321,6019829,2235729,13458706270341,12908670859397,0.957390236614206
322,4828742,4554325,21991660409150,21991662294846,0.9999999142540489
323,4725492,4132646,19528785611832,19528473225884,0.9999840035652359
324,8348806,7950258,66375161691948,66364442579378,0.999838481087863
325,2038067,3913164,7975290413988,7974349234340,0.9998819741122013
326,1286536,1681370,2163143034320,2025645616856,0.9321216819369376
327,4879298,4887126,23845744117548,23840245968358,0.9997693753161231
328,6296612,7850658,49432547370696,49380775902508,0.9989515865791535
329,8198496,7847232,64335500163072,64335206561792,0.999995436382415
330,2719220,1278795,3477324939900,3477122105980,0.9999416661498165
331,104811,773393,81060093723,81034927899,0.9996894447289276
332,3274042,269354,881876308868,881806993598,0.9999213940573127
333,5495242,4015031,22063566982502,22062454482494,0.9999495749664262
334,7696896,2083921,16039723209216,16031131177472,0.9994640408310005
